cpu_elapsed_time_seconds, gpu_elapsed_time_seconds
0.141017,0.422619
0.192779,0.305947
0.179410,0.265940
0.183570,0.300083
0.151045,0.262257
0.206182,0.243999
0.151261,0.261359
0.187992,0.263551
0.146803,0.261916
0.150263,0.316531
0.139863,0.328619
0.176950,0.263254
0.148540,0.293810
0.148579,0.191493
0.139507,0.190578
0.221817,0.193721
0.151400,0.190318
0.143683,0.188866
0.139191,0.190033
0.161950,0.189438
0.143372,0.189254
0.139513,0.189233
0.139415,0.190332
0.139241,0.190188
0.140698,0.190161
0.139253,0.189470
0.150120,0.188921
0.143734,0.190409
0.150103,0.195117
0.156039,0.189272
0.141926,0.189866
0.153666,0.189650
